Object ID,Entry Time (EST),Exit Time (EST),Time Taken (s),Speed (m/s),Speed (mph)
1009,2025-06-09 16:55:42,2025-06-09 16:55:46,4.2,4.28,9.57
1017,2025-06-09 16:55:43,2025-06-09 16:55:48,4.45,4.04,9.04
1101,2025-06-09 16:55:52,2025-06-09 16:55:54,1.62,11.1,24.82
1348,2025-06-09 16:56:28,2025-06-09 16:56:29,1.29,13.99,31.3
1351,2025-06-09 16:56:31,2025-06-09 16:56:33,1.35,13.28,29.7
1355,2025-06-09 16:56:34,2025-06-09 16:56:35,1.28,14.02,31.36
1400,2025-06-09 16:56:43,2025-06-09 16:56:45,1.41,12.77,28.56
1431,2025-06-09 16:56:48,2025-06-09 16:56:49,1.1,16.32,36.5
1606,2025-06-09 16:57:24,2025-06-09 16:57:27,3.35,5.37,12.02
1846,2025-06-09 16:57:49,2025-06-09 16:57:51,2.03,8.87,19.85
2019,2025-06-09 16:58:11,2025-06-09 16:58:13,1.83,9.84,22.02
2305,2025-06-09 16:58:35,2025-06-09 16:58:38,2.23,8.08,18.07
2341,2025-06-09 16:58:41,2025-06-09 16:58:42,1.48,12.18,27.24
2350,2025-06-09 16:58:43,2025-06-09 16:58:45,1.48,12.17,27.23
2368,2025-06-09 16:58:45,2025-06-09 16:58:47,1.81,9.91,22.17
2374,2025-06-09 16:58:48,2025-06-09 16:58:50,1.67,10.76,24.07
2408,2025-06-09 16:58:56,2025-06-09 16:58:57,0.95,19.02,42.54
2422,2025-06-09 16:58:58,2025-06-09 16:58:59,1.01,17.83,39.88
2425,2025-06-09 16:58:58,2025-06-09 16:59:00,1.96,9.16,20.49
2451,2025-06-09 16:59:02,2025-06-09 16:59:03,1.22,14.76,33.01
2458,2025-06-09 16:59:05,2025-06-09 16:59:06,1.15,15.67,35.06
2466,2025-06-09 16:59:07,2025-06-09 16:59:08,1.01,17.85,39.93
2469,2025-06-09 16:59:09,2025-06-09 16:59:10,1.01,17.77,39.74
2475,2025-06-09 16:59:11,2025-06-09 16:59:12,1.08,16.61,37.14
2496,2025-06-09 16:59:15,2025-06-09 16:59:16,1.08,16.68,37.32
2529,2025-06-09 16:59:16,2025-06-09 16:59:17,1.08,16.68,37.31
2589,2025-06-09 16:59:25,2025-06-09 16:59:27,1.88,9.55,21.36
2640,2025-06-09 16:59:30,2025-06-09 16:59:33,3.41,5.28,11.81
16,2025-06-09 17:04:13,2025-06-09 17:04:14,1.49,12.07,27.0
59,2025-06-09 17:04:16,2025-06-09 17:04:17,1.35,13.33,29.81
234,2025-06-09 17:04:29,2025-06-09 17:04:30,0.94,19.12,42.78
295,2025-06-09 17:04:33,2025-06-09 17:04:35,1.55,11.58,25.9
453,2025-06-09 17:04:48,2025-06-09 17:04:49,1.16,15.49,34.64
463,2025-06-09 17:04:50,2025-06-09 17:04:51,1.14,15.7,35.13
472,2025-06-09 17:04:51,2025-06-09 17:04:52,1.15,15.66,35.03
475,2025-06-09 17:04:53,2025-06-09 17:04:54,1.15,15.66,35.03
488,2025-06-09 17:04:56,2025-06-09 17:04:57,1.08,16.72,37.4
492,2025-06-09 17:04:59,2025-06-09 17:05:00,1.46,12.33,27.58
507,2025-06-09 17:05:02,2025-06-09 17:05:03,1.08,16.62,37.17
561,2025-06-09 17:05:09,2025-06-09 17:05:09,0.74,24.29,54.33
595,2025-06-09 17:05:19,2025-06-09 17:05:20,1.08,16.6,37.14
597,2025-06-09 17:05:20,2025-06-09 17:05:22,1.85,9.74,21.8
1281,2025-06-09 17:06:40,2025-06-09 17:06:41,1.22,14.69,32.85
1303,2025-06-09 17:06:42,2025-06-09 17:06:43,0.94,19.05,42.62
1330,2025-06-09 17:06:46,2025-06-09 17:06:47,0.95,18.96,42.42
1245,2025-06-09 17:06:35,2025-06-09 17:06:47,11.85,1.52,3.39
1374,2025-06-09 17:06:49,2025-06-09 17:06:50,0.54,33.3,74.5
1561,2025-06-09 17:07:10,2025-06-09 17:07:11,1.18,15.22,34.04
145,2025-06-11 10:41:28,2025-06-11 10:41:32,4.43,4.06,9.08
429,2025-06-11 10:41:50,2025-06-11 10:41:51,1.28,14.06,31.45
505,2025-06-11 10:42:01,2025-06-11 10:42:04,2.66,6.75,15.11
516,2025-06-11 10:42:04,2025-06-11 10:42:06,2.29,7.85,17.57
552,2025-06-11 10:42:08,2025-06-11 10:42:09,1.21,14.84,33.2
542,2025-06-11 10:42:07,2025-06-11 10:42:09,2.03,8.87,19.84
559,2025-06-11 10:42:10,2025-06-11 10:42:13,3.31,5.43,12.15
664,2025-06-11 10:42:30,2025-06-11 10:42:31,1.15,15.65,35.02
824,2025-06-11 10:43:07,2025-06-11 10:43:12,5.3,3.39,7.59
866,2025-06-11 10:43:19,2025-06-11 10:43:21,2.36,7.61,17.02
878,2025-06-11 10:43:22,2025-06-11 10:43:25,3.16,5.69,12.74
987,2025-06-11 10:43:46,2025-06-11 10:43:48,1.68,10.68,23.89
1006,2025-06-11 10:43:49,2025-06-11 10:43:50,1.21,14.85,33.22
1018,2025-06-11 10:43:51,2025-06-11 10:43:53,1.91,9.42,21.08
1038,2025-06-11 10:43:55,2025-06-11 10:43:56,1.74,10.34,23.12
1293,2025-06-11 10:44:51,2025-06-11 10:44:52,1.28,14.05,31.42
1299,2025-06-11 10:44:52,2025-06-11 10:44:53,0.68,26.63,59.58
1371,2025-06-11 10:45:11,2025-06-11 10:45:17,5.59,3.22,7.2
1374,2025-06-11 10:45:15,2025-06-11 10:45:19,4.22,4.26,9.54
1396,2025-06-11 10:45:17,2025-06-11 10:45:21,3.74,4.81,10.77
1437,2025-06-11 10:45:23,2025-06-11 10:45:26,2.9,6.21,13.89
1585,2025-06-11 10:45:34,2025-06-11 10:45:37,3.14,5.73,12.82
1611,2025-06-11 10:45:44,2025-06-11 10:45:45,1.62,11.08,24.79
1624,2025-06-11 10:45:46,2025-06-11 10:45:47,1.76,10.23,22.88
1642,2025-06-11 10:45:48,2025-06-11 10:45:50,2.18,8.26,18.47
1663,2025-06-11 10:45:56,2025-06-11 10:45:57,0.81,22.21,49.67
1719,2025-06-11 10:46:03,2025-06-11 10:46:04,1.07,16.75,37.46
1753,2025-06-11 10:46:09,2025-06-11 10:46:10,0.94,19.05,42.62
1764,2025-06-11 10:46:11,2025-06-11 10:46:12,1.08,16.69,37.33
1775,2025-06-11 10:46:15,2025-06-11 10:46:16,1.15,15.69,35.1
1958,2025-06-11 10:46:48,2025-06-11 10:46:49,0.95,18.99,42.47
1975,2025-06-11 10:46:53,2025-06-11 10:46:54,0.61,29.56,66.11
2285,2025-06-11 10:47:46,2025-06-11 10:47:48,2.23,8.07,18.05
2295,2025-06-11 10:47:48,2025-06-11 10:47:53,4.71,3.81,8.53
2438,2025-06-11 10:48:13,2025-06-11 10:48:14,1.42,12.65,28.3
2787,2025-06-11 10:49:20,2025-06-11 10:49:23,3.1,5.8,12.97
2943,2025-06-11 10:49:49,2025-06-11 10:49:51,2.36,7.62,17.04
84,2025-06-16 07:39:04,2025-06-16 07:39:06,1.75,10.25,22.93
173,2025-06-16 07:39:22,2025-06-16 07:39:23,0.68,26.54,59.37
339,2025-06-16 07:39:47,2025-06-16 07:39:59,12.23,1.47,3.29
614,2025-06-16 07:40:21,2025-06-16 07:40:23,1.21,14.83,33.17
639,2025-06-16 07:40:24,2025-06-16 07:40:25,1.01,17.77,39.75
790,2025-06-16 07:40:45,2025-06-16 07:40:46,1.82,9.88,22.1
816,2025-06-16 07:40:47,2025-06-16 07:40:49,1.75,10.25,22.93
830,2025-06-16 07:40:49,2025-06-16 07:40:51,1.48,12.13,27.14
867,2025-06-16 07:40:53,2025-06-16 07:40:55,2.36,7.61,17.03
873,2025-06-16 07:40:56,2025-06-16 07:40:57,0.88,20.5,45.85
942,2025-06-16 07:41:01,2025-06-16 07:41:02,0.68,26.43,59.13
1083,2025-06-16 07:41:21,2025-06-16 07:41:26,4.4,4.08,9.13
1275,2025-06-16 07:42:23,2025-06-16 07:42:25,2.57,7.01,15.68
1319,2025-06-16 07:42:29,2025-06-16 07:42:30,1.66,10.85,24.28
1346,2025-06-16 07:42:31,2025-06-16 07:42:32,0.81,22.08,49.4
1411,2025-06-16 07:42:37,2025-06-16 07:42:37,0.88,20.53,45.92
1453,2025-06-16 07:42:39,2025-06-16 07:42:40,0.75,24.1,53.91
1460,2025-06-16 07:42:43,2025-06-16 07:42:43,0.87,20.77,46.47
1949,2025-06-16 07:44:22,2025-06-16 07:44:23,1.08,16.66,37.27
2289,2025-06-16 07:44:58,2025-06-16 07:45:00,2.07,8.67,19.39
2595,2025-06-16 07:45:41,2025-06-16 07:45:42,1.79,10.07,22.53
2640,2025-06-16 07:45:45,2025-06-16 07:45:46,0.95,18.93,42.35
2659,2025-06-16 07:45:46,2025-06-16 07:45:47,0.88,20.4,45.64
2719,2025-06-16 07:45:50,2025-06-16 07:45:51,1.76,10.23,22.88
2748,2025-06-16 07:45:53,2025-06-16 07:45:55,2.38,7.55,16.88
2936,2025-06-16 07:46:09,2025-06-16 07:46:10,1.82,9.88,22.09
3020,2025-06-16 07:46:13,2025-06-16 07:46:17,4.59,3.91,8.76
3102,2025-06-16 07:46:18,2025-06-16 07:46:21,3.31,5.42,12.13
3273,2025-06-16 07:46:29,2025-06-16 07:46:31,1.83,9.81,21.94
31,2025-07-21 11:43:17,2025-07-21 11:43:42,25.23,0.71,1.59
102,2025-07-21 11:43:41,2025-07-21 11:43:44,2.97,6.05,13.53
108,2025-11-05 06:46:18,2025-11-05 06:46:20,1.43,12.59,28.16
137,2025-11-05 06:46:22,2025-11-05 06:46:23,1.34,13.38,29.92
179,2025-11-05 06:46:27,2025-11-05 06:46:28,1.01,17.75,39.7
189,2025-11-05 06:46:29,2025-11-05 06:46:30,0.74,24.28,54.3
88,2025-11-05 06:46:13,2025-11-05 06:46:31,18.76,0.96,2.14
418,2025-11-05 06:47:04,2025-11-05 06:47:07,2.96,6.07,13.59
701,2025-11-05 06:47:47,2025-11-05 06:47:48,1.15,15.68,35.08
710,2025-11-05 06:47:51,2025-11-05 06:47:53,1.55,11.58,25.91
753,2025-11-05 06:47:54,2025-11-05 06:47:55,1.19,15.08,33.73
772,2025-11-05 06:47:55,2025-11-05 06:47:56,1.15,15.69,35.1
781,2025-11-05 06:47:57,2025-11-05 06:47:58,1.16,15.47,34.61
952,2025-11-05 06:48:18,2025-11-05 06:48:19,0.81,22.22,49.71
1081,2025-11-05 06:48:42,2025-11-05 06:48:44,2.23,8.08,18.07
313,2025-11-05 07:22:20,2025-11-05 07:22:21,1.68,10.7,23.94
345,2025-11-05 07:22:25,2025-11-05 07:22:26,1.15,15.65,35.01
357,2025-11-05 07:22:28,2025-11-05 07:22:29,1.25,14.39,32.2
361,2025-11-05 07:22:31,2025-11-05 07:22:32,1.21,14.82,33.14
362,2025-11-05 07:22:34,2025-11-05 07:22:35,1.15,15.66,35.04
519,2025-11-05 07:22:52,2025-11-05 07:22:54,1.82,9.9,22.14
787,2025-11-05 07:23:14,2025-11-05 07:23:16,2.44,7.36,16.47
1017,2025-11-05 07:23:59,2025-11-05 07:24:00,1.55,11.58,25.91
1039,2025-11-05 07:24:01,2025-11-05 07:24:02,1.28,14.04,31.41
1064,2025-11-05 07:24:04,2025-11-05 07:24:05,1.21,14.85,33.21
1078,2025-11-05 07:24:06,2025-11-05 07:24:07,1.38,13.01,29.1
1129,2025-11-05 07:24:16,2025-11-05 07:24:17,0.88,20.45,45.75
1144,2025-11-05 07:24:20,2025-11-05 07:24:20,0.81,22.16,49.57
1150,2025-11-05 07:24:21,2025-11-05 07:24:22,0.88,20.47,45.79
1194,2025-11-05 07:24:26,2025-11-05 07:24:26,0.67,26.65,59.61
1803,2025-11-05 07:25:26,2025-11-05 07:25:29,2.9,6.19,13.85
1904,2025-11-05 07:25:39,2025-11-05 07:25:41,1.55,11.58,25.9
292,2025-11-05 17:36:34,2025-11-05 17:36:35,1.08,16.63,37.2
343,2025-11-05 17:36:39,2025-11-05 17:36:40,0.81,22.22,49.7
377,2025-11-05 17:36:41,2025-11-05 17:36:43,1.08,16.61,37.16
139,2025-11-06 19:49:53,2025-11-06 19:49:54,0.81,22.25,49.78
148,2025-11-06 19:49:56,2025-11-06 19:49:59,3.11,5.78,12.92
301,2025-11-06 19:51:22,2025-11-06 19:51:23,1.38,12.98,29.05
342,2025-11-06 19:51:56,2025-11-06 19:52:00,3.11,5.77,12.92
513,2025-11-06 19:52:51,2025-11-06 19:52:58,6.52,2.76,6.17
11,2025-11-08 22:34:47,2025-11-08 22:34:48,1.15,15.64,34.98
542,2025-11-08 22:40:54,2025-11-08 22:40:55,0.88,20.48,45.8
630,2025-11-08 22:42:27,2025-11-08 22:42:31,3.28,5.49,12.28
9,2025-11-09 11:36:44,2025-11-09 11:36:46,1.43,12.61,28.2
55,2025-11-09 11:36:47,2025-11-09 11:36:48,0.94,19.03,42.56
90,2025-11-09 11:36:49,2025-11-09 11:36:50,1.01,17.76,39.74
113,2025-11-09 11:36:52,2025-11-09 11:36:53,1.01,17.73,39.65
293,2025-11-09 11:37:12,2025-11-09 11:37:16,4.07,4.42,9.88
1198,2025-11-09 11:38:17,2025-11-09 11:38:18,1.14,15.72,35.16
1230,2025-11-09 11:38:20,2025-11-09 11:38:21,1.33,13.57,30.35
1260,2025-11-09 11:38:23,2025-11-09 11:38:24,1.01,17.73,39.66
1267,2025-11-09 11:38:25,2025-11-09 11:38:26,1.01,17.82,39.87
1333,2025-11-09 11:38:31,2025-11-09 11:38:32,0.67,26.75,59.84
1349,2025-11-09 11:38:33,2025-11-09 11:38:34,0.48,37.68,84.29
1375,2025-11-09 11:38:35,2025-11-09 11:38:36,0.88,20.49,45.83
1409,2025-11-09 11:38:39,2025-11-09 11:38:40,1.01,17.78,39.77
1584,2025-11-09 11:38:50,2025-11-09 11:38:51,1.28,14.01,31.35
1609,2025-11-09 11:38:52,2025-11-09 11:38:54,1.28,14.03,31.38
1850,2025-11-09 11:39:06,2025-11-09 11:39:08,2.09,8.6,19.23
2660,2025-11-09 11:40:12,2025-11-09 11:40:14,1.56,11.56,25.85
2683,2025-11-09 11:40:14,2025-11-09 11:40:16,1.93,9.3,20.81
2707,2025-11-09 11:40:16,2025-11-09 11:40:18,1.62,11.09,24.82
2740,2025-11-09 11:40:18,2025-11-09 11:40:20,1.63,11.04,24.7
2845,2025-11-09 11:40:24,2025-11-09 11:40:25,1.09,16.57,37.06
2863,2025-11-09 11:40:26,2025-11-09 11:40:27,1.35,13.32,29.79
2883,2025-11-09 11:40:28,2025-11-09 11:40:29,1.28,14.03,31.38
2897,2025-11-09 11:40:30,2025-11-09 11:40:31,1.35,13.32,29.8
2929,2025-11-09 11:40:32,2025-11-09 11:40:33,0.74,24.23,54.21
2928,2025-11-09 11:40:32,2025-11-09 11:40:33,1.08,16.63,37.19
2970,2025-11-09 11:40:34,2025-11-09 11:40:35,1.14,15.71,35.14
3017,2025-11-09 11:40:36,2025-11-09 11:40:37,0.97,18.58,41.55
3066,2025-11-09 11:40:40,2025-11-09 11:40:41,0.82,22.04,49.31
3105,2025-11-09 11:40:43,2025-11-09 11:40:44,0.74,24.18,54.08
3504,2025-11-09 11:41:15,2025-11-09 11:41:16,1.29,13.97,31.25
4284,2025-11-09 11:42:15,2025-11-09 11:42:16,1.22,14.76,33.02
4292,2025-11-09 11:42:17,2025-11-09 11:42:18,1.42,12.66,28.32
4335,2025-11-09 11:42:22,2025-11-09 11:42:23,1.08,16.67,37.3
4346,2025-11-09 11:42:24,2025-11-09 11:42:25,1.14,15.72,35.16
4358,2025-11-09 11:42:27,2025-11-09 11:42:28,1.15,15.68,35.07
4372,2025-11-09 11:42:28,2025-11-09 11:42:29,1.35,13.3,29.74
4601,2025-11-09 11:42:44,2025-11-09 11:42:45,0.89,20.19,45.16
4671,2025-11-09 11:42:51,2025-11-09 11:42:52,0.81,22.13,49.5
6028,2025-11-09 11:44:16,2025-11-09 11:44:17,1.62,11.08,24.78
6112,2025-11-09 11:44:19,2025-11-09 11:44:20,1.66,10.84,24.24
6149,2025-11-09 11:44:21,2025-11-09 11:44:23,1.62,11.08,24.79
6169,2025-11-09 11:44:23,2025-11-09 11:44:24,1.76,10.23,22.87
6204,2025-11-09 11:44:25,2025-11-09 11:44:26,1.49,12.08,27.02
6235,2025-11-09 11:44:26,2025-11-09 11:44:27,1.35,13.33,29.81
6272,2025-11-09 11:44:28,2025-11-09 11:44:29,1.5,12.01,26.87
6202,2025-11-09 11:44:25,2025-11-09 11:44:30,5.42,3.32,7.42
6319,2025-11-09 11:44:31,2025-11-09 11:44:38,7.03,2.56,5.72
7346,2025-11-09 11:46:16,2025-11-09 11:46:17,1.42,12.63,28.26
7394,2025-11-09 11:46:19,2025-11-09 11:46:20,1.46,12.35,27.63
7411,2025-11-09 11:46:21,2025-11-09 11:46:22,1.35,13.3,29.75
7546,2025-11-09 11:46:34,2025-11-09 11:46:35,0.74,24.34,54.46
7553,2025-11-09 11:46:36,2025-11-09 11:46:37,1.06,17.0,38.03
7579,2025-11-09 11:46:40,2025-11-09 11:46:40,0.88,20.49,45.85
7591,2025-11-09 11:46:41,2025-11-09 11:46:42,0.81,22.18,49.62
7965,2025-11-09 11:47:14,2025-11-09 11:47:15,1.62,11.11,24.86
7997,2025-11-09 11:47:16,2025-11-09 11:47:19,3.11,5.78,12.94
8107,2025-11-09 11:47:24,2025-11-09 11:47:26,2.1,8.55,19.12
8129,2025-11-09 11:47:26,2025-11-09 11:47:29,2.36,7.62,17.04
8252,2025-11-09 11:47:37,2025-11-09 11:47:39,2.23,8.06,18.04
8310,2025-11-09 11:47:43,2025-11-09 11:47:52,9.23,1.95,4.36
8827,2025-11-09 11:48:17,2025-11-09 11:48:18,1.08,16.62,37.17
8864,2025-11-09 11:48:19,2025-11-09 11:48:21,1.68,10.7,23.93
8903,2025-11-09 11:48:21,2025-11-09 11:48:23,1.55,11.61,25.97
8972,2025-11-09 11:48:25,2025-11-09 11:48:27,1.62,11.11,24.85
9018,2025-11-09 11:48:27,2025-11-09 11:48:28,1.68,10.68,23.89
9084,2025-11-09 11:48:28,2025-11-09 11:48:30,1.62,11.1,24.83
9136,2025-11-09 11:48:30,2025-11-09 11:48:32,1.62,11.09,24.81
9169,2025-11-09 11:48:34,2025-11-09 11:48:35,1.08,16.61,37.15
9183,2025-11-09 11:48:36,2025-11-09 11:48:37,1.1,16.36,36.59
9771,2025-11-09 11:49:14,2025-11-09 11:49:17,3.17,5.67,12.68
9841,2025-11-09 11:49:21,2025-11-09 11:49:24,2.91,6.18,13.83
9897,2025-11-09 11:49:26,2025-11-09 11:49:29,2.84,6.32,14.15
10601,2025-11-09 11:50:13,2025-11-09 11:50:14,1.76,10.23,22.88
10632,2025-11-09 11:50:15,2025-11-09 11:50:17,1.64,10.94,24.47
10645,2025-11-09 11:50:17,2025-11-09 11:50:18,1.35,13.31,29.77
10680,2025-11-09 11:50:19,2025-11-09 11:50:20,1.28,14.0,31.32
10697,2025-11-09 11:50:20,2025-11-09 11:50:22,1.42,12.64,28.28
10741,2025-11-09 11:50:27,2025-11-09 11:50:28,1.02,17.67,39.53
10798,2025-11-09 11:50:30,2025-11-09 11:50:31,0.95,18.94,42.38
10880,2025-11-09 11:50:36,2025-11-09 11:50:37,1.28,14.06,31.46
11075,2025-11-09 11:50:48,2025-11-09 11:50:50,2.23,8.08,18.06
11111,2025-11-09 11:50:50,2025-11-09 11:50:51,1.01,17.79,39.79
11344,2025-11-09 11:51:13,2025-11-09 11:51:17,4.19,4.29,9.6
11473,2025-11-09 11:51:24,2025-11-09 11:51:26,2.49,7.22,16.16
11572,2025-11-09 11:51:37,2025-11-09 11:51:39,1.87,9.6,21.48
12190,2025-11-09 11:52:15,2025-11-09 11:52:16,1.75,10.25,22.93
12201,2025-11-09 11:52:16,2025-11-09 11:52:18,1.77,10.14,22.69
12230,2025-11-09 11:52:18,2025-11-09 11:52:20,1.42,12.68,28.36
12566,2025-11-09 11:52:45,2025-11-09 11:52:46,0.88,20.4,45.64
12577,2025-11-09 11:52:47,2025-11-09 11:52:48,0.88,20.42,45.67
12739,2025-11-09 11:53:04,2025-11-09 11:53:07,2.63,6.84,15.29
12800,2025-11-09 11:53:08,2025-11-09 11:53:11,3.39,5.3,11.85
13708,2025-11-09 11:54:09,2025-11-09 11:54:10,1.28,14.02,31.36
13747,2025-11-09 11:54:11,2025-11-09 11:54:13,1.41,12.71,28.43
13759,2025-11-09 11:54:14,2025-11-09 11:54:15,1.15,15.63,34.96
13797,2025-11-09 11:54:16,2025-11-09 11:54:17,1.22,14.78,33.06
13812,2025-11-09 11:54:19,2025-11-09 11:54:20,1.08,16.65,37.24
13826,2025-11-09 11:54:21,2025-11-09 11:54:22,1.22,14.78,33.07
13861,2025-11-09 11:54:24,2025-11-09 11:54:25,1.01,17.73,39.67
13909,2025-11-09 11:54:28,2025-11-09 11:54:29,0.81,22.28,49.83
13920,2025-11-09 11:54:30,2025-11-09 11:54:31,1.11,16.23,36.3
14117,2025-11-09 11:54:48,2025-11-09 11:54:49,1.01,17.86,39.96
578,2025-11-09 15:56:05,2025-11-09 15:56:06,1.48,12.13,27.13
603,2025-11-09 15:56:07,2025-11-09 15:56:08,1.08,16.63,37.21
622,2025-11-09 15:56:09,2025-11-09 15:56:10,1.28,14.07,31.47
673,2025-11-09 15:56:12,2025-11-09 15:56:13,1.3,13.81,30.89
698,2025-11-09 15:56:16,2025-11-09 15:56:17,1.22,14.77,33.04
708,2025-11-09 15:56:17,2025-11-09 15:56:18,1.46,12.33,27.59
736,2025-11-09 15:56:19,2025-11-09 15:56:21,1.08,16.61,37.17
750,2025-11-09 15:56:22,2025-11-09 15:56:23,1.01,17.82,39.87
753,2025-11-09 15:56:23,2025-11-09 15:56:24,1.15,15.69,35.11
792,2025-11-09 15:56:25,2025-11-09 15:56:27,1.35,13.35,29.87
853,2025-11-09 15:56:30,2025-11-09 15:56:31,1.08,16.69,37.32
1073,2025-11-09 15:56:44,2025-11-09 15:56:45,0.67,26.68,59.69
1251,2025-11-09 15:56:54,2025-11-09 15:56:55,0.61,29.65,66.33
1773,2025-11-09 15:57:37,2025-11-09 15:57:39,1.69,10.65,23.83
2267,2025-11-09 15:58:15,2025-11-09 15:58:16,1.21,14.82,33.15
2281,2025-11-09 15:58:17,2025-11-09 15:58:18,1.08,16.64,37.21
2326,2025-11-09 15:58:19,2025-11-09 15:58:21,1.22,14.76,33.02
2355,2025-11-09 15:58:21,2025-11-09 15:58:22,1.15,15.68,35.08
2436,2025-11-09 15:58:25,2025-11-09 15:58:26,1.21,14.8,33.12
2452,2025-11-09 15:58:27,2025-11-09 15:58:28,1.2,14.96,33.47
2463,2025-11-09 15:58:29,2025-11-09 15:58:30,1.15,15.7,35.11
2485,2025-11-09 15:58:32,2025-11-09 15:58:33,1.22,14.79,33.09
2514,2025-11-09 15:58:34,2025-11-09 15:58:35,1.15,15.66,35.03
2539,2025-11-09 15:58:36,2025-11-09 15:58:38,1.08,16.67,37.3
2674,2025-11-09 15:58:43,2025-11-09 15:58:45,1.23,14.58,32.61
2744,2025-11-09 15:58:47,2025-11-09 15:58:48,0.74,24.19,54.12
2767,2025-11-09 15:58:51,2025-11-09 15:58:51,0.61,29.58,66.16
3021,2025-11-09 15:59:09,2025-11-09 15:59:12,2.23,8.07,18.06
